cluster	avg_seq_len	MainBody_length	avg_GC_cont	avg_ATcont_after3p	sum_all_reads	num_gap_bars	scale_rate_5p	num_mismatches_8mer	num_mism_in_MB	len_after_MB	gap_droppin_len	gcs	ats	cpg	cwf	ce	cz	cm2	cm3	ct2	ct3	cl2	cl3	ident2rev_compl_clust	hits_on_mature_miR	bracket-mirna-fraction	hairpin-size-estimate	loop-mirna-distance-estimate	loop-size-estimate	loops-in-hairpin	minimum-free-energy	mirna-bracket-discrepancy	mirna-bracket-majority	mirna-unmatched
497	24.75	22	0.51427328844	0.291666666667	8	1	1	0	0	5	5	0.384615384615	0.272727272727	0.361111111111	2.08462125195	0.955381053123	0.461538461538	0.800841271877	0.646610667484	0.6875	0.5	0.75	0.738095238095	68	YES	0.708333333333333	58	7	6	1	-24.60	1	17	7
498	23.2608695652	21	0.318955251962	0.26087	92	6	6	0	0	3	3	0.142857142857	0.411764705882	0.583333333333	2.09473431085	0.888646292334	0.452830188679	0.823665896552	0.676913697787	0.75	0.613636363636	0.8	0.809523809524	65	NO	0.541666666666667	62	0	9	2	-14.80	1	13	11
499	22.564137931	21	0.432234745511	0.275863333333	725	7	7	0	0	8	4	0.8	0.142857142857	1.11111111111	2.11008776073	0.875	0.48	0.753119972686	0.64089182277	0.5625	0.409090909091	0.65	0.690476190476	70	YES	0.708333333333333	49	0	10	1	-20.10	1	17	7
500	19.6923076923	15	0.419185552815	0.1453	39	5	5	0	0	12	9	0.2	0.454545454545	0.833333333333	1.7759398437	0.890319531115	0.347826086957	0.71822639883	0.586940106057	0.533333333333	0.457142857143	0.631578947368	0.727272727273	69	NO	0.6875	57	12	6	1	 -9.40	1	11	5
501	21.1197183099	17	0.283242716413	0.0	142	13	13	0	0	1	1	0.0	0.25	0.666666666667	2.02342454575	0.906106014829	0.458333333333	0.808025451211	0.614030619963	0.6875	0.48125	0.75	0.725	74	NO	0.5	65	0	4	3	-21.60	0.6875	11	6
502	23.7619047619	16	0.581559568437	0.0158733333333	21	6	6	0	0	13	10	0.428571428571	0.6	0.35	2.09827441505	0.892079563926	0.48	0.76377703781	0.64089182277	0.625	0.454545454545	0.7	0.714285714286	70	NO	0.583333333333333	52	3	7	1	-27.50	1	14	10
503	23.6153846154	21	0.748358547928	0.102563333333	13	7	7	0	0	4	4	0.0526315789474	0.2	0.211111111111	2.10338092542	0.865325136527	0.452830188679	0.788392934619	0.667481027349	0.625	0.482954545455	0.7	0.738095238095	78	NO	0.708333333333333	63	9	5	1	-44.30	1	17	7
504	23.3157894737	21	0.423365886817	0.0350866666667	19	6	6	0	0	3	3	0.0	0.5	0.333333333333	2.0857143232	0.952819531115	0.5	0.771982336746	0.631459152332	0.625	0.426136363636	0.7	0.690476190476	67	NO	0.666666666666667	55	1	7	1	-22.60	1	16	8
505	23.0986771541	23	0.427981728018	0.128913333333	8391	1	1	1	1	5	2	0.555555555556	0.0	0.642857142857	2.05695348311	0.936684165785	0.450980392157	0.810825092135	0.668560840304	0.6875	0.556547619048	0.75	0.780487804878	71	YES	0.91304347826087	56	0	11	1	-32.20	1	21	2
506	23.8421052632	20	0.455065951762	0.26316	19	10	10	0	0	6	4	0.666666666667	0.166666666667	0.6	2.09558101886	0.907472794575	0.461538461538	0.788392934619	0.667481027349	0.625	0.482954545455	0.7	0.738095238095	74	NO	0.5	62	9	6	1	 -6.60	1	12	12
507	20.6363636364	15	0.501848739496	0.242423333333	11	16	16	0	0	5	3	0.0	0.142857142857	0.4	1.80170734149	0.985667642653	0.36170212766	0.820159765557	0.606703988157	0.6875	0.595833333333	0.75	0.8	72	NO	0.647058823529412	62	12	4	1	-17.80	1	11	6
508	24.0151515152	21	0.423543880134	0.166666666667	66	6	6	0	0	4	3	0.0	0.714285714286	0.4	2.10021419431	0.870838938745	0.461538461538	0.770896842506	0.646610667484	0.625	0.454545454545	0.7	0.714285714286	68	NO	0.625	76	19	5	1	-23.50	1	15	9
509	23.1310344828	16	0.775017755519	0.245976666667	145	10	10	0	0	13	7	0.222222222222	0.666666666667	0.233766233766	2.11354969545	0.848421401739	0.48	0.740952413135	0.64089182277	0.5625	0.409090909091	0.65	0.690476190476	70	NO	0.458333333333333	75	18	5	1	-39.70	1	11	13
510	24.4411764706	24	0.60807993069	0.02941	34	0	0	0	0	4	3	0.2	1.0	0.277777777778	2.10654765654	0.78063906223	0.461538461538	0.746280945696	0.646610667484	0.421875	0.306818181818	0.6	0.666666666667	70	NO	0.333333333333333	75	0	7	2	-32.00	0.888888888888889	8	15
511	23.3333333333	15	0.838041254698	0.0	18	12	12	0	0	8	8	0.047619047619	0.333333333333	0.190909090909	2.13036958966	0.765959817988	0.5	0.71812778846	0.622026481894	0.5625	0.383522727273	0.65	0.666666666667	75	NO	0.708333333333333	78	15	5	1	-44.50	1	17	7
512	23.5714285714	17	0.46564396592	0.02381	14	11	11	0	0	3	1	0.272727272727	0.230769230769	0.392857142857	2.08145452084	0.974541147676	0.48	0.753119972686	0.616307637181	0.5625	0.357954545455	0.65	0.642857142857	68	NO	0.375	64	7	5	2	-24.40	0.642857142857143	9	10
513	22.9718309859	17	0.874181747105	0.24413	71	7	7	0	0	11	6	0.238095238095	0.333333333333	0.201923076923	2.1320554229	0.748612160031	0.470588235294	0.665989402784	0.606874966743	0.5	0.318181818182	0.6	0.619047619048	75	NO	0.833333333333333	73	0	3	2	-54.70	1	20	4
514	22.5875486381	22	0.524955935065	0.23087	514	1	1	0	0	6	3	0.666666666667	0.4	0.6	2.03166477483	0.874587334195	0.415094339623	0.785404802046	0.670321349148	0.625	0.53125	0.7	0.775	67	YES	0.727272727272727	53	4	4	1	-39.60	1	16	6
515	20.9833333333	17	0.859971227438	0.05	60	11	11	0	5	7	3	0.222222222222	0.333333333333	0.233766233766	2.02313998423	0.774605562356	0.428571428571	0.680804918084	0.613646800467	0.5	0.368421052632	0.6	0.666666666667	76	NO	0.571428571428571	37	0	4	1	-29.50	1	12	9
516	22.4377880184	20	0.905604785671	0.00307333333333	217	8	8	1	0	4	1	0.142857142857	1.0	0.194444444444	2.09319646711	0.662892390602	0.479166666667	0.603272109106	0.561340403762	0.28125	0.147321428571	0.45	0.487804878049	73	NO	0.565217391304348	56	9	4	2	-52.40	0.8125	13	7
517	24.4	20	0.530334143581	0.45	20	7	7	0	0	9	6	0.333333333333	0.166666666667	0.375	2.08145452084	0.974541147676	0.436363636364	0.962305978098	0.728087087955	1.0	0.954545454545	1.0	0.97619047619	72	NO	0.708333333333333	72	7	8	1	-18.50	1	17	7
518	23.8428951828	24	0.446712333159	0.0188833333333	20655	3	3	0	2	7	1	0.0	0.0	0.4	2.07876112465	0.989934378326	0.436363636364	0.932361548726	0.743238603106	0.9375	0.9375	0.95	0.97619047619	69	YES	0.916666666666667	61	6	4	1	-41.90	1	22	2
519	21.88	18	0.597316294816	0.0133333333333	25	3	3	0	0	11	10	0.0769230769231	0.333333333333	0.309523809524	2.01239211786	0.970035764655	0.423076923077	0.89861640924	0.686988015815	0.8125	0.73125	0.85	0.875	73	NO	0.363636363636364	60	23	6	1	-25.40	0.666666666666667	8	10
520	23.9290322581	22	0.523717861692	0.0	155	6	6	0	0	2	2	0.0	0.333333333333	0.333333333333	2.08060781283	0.979573958514	0.444444444444	0.883554755295	0.712935572803	0.8125	0.738636363636	0.85	0.880952380952	67	NO	0.625	82	15	5	1	-23.70	1	15	9
521	21.6363636364	14	0.553537324021	0.484846666667	11	7	7	0	0	8	0	0.142857142857	0.4	0.291666666667	2.08462125195	0.960894855342	0.444444444444	0.918827717228	0.712935572803	0.875	0.795454545455	0.9	0.904761904762	73	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA
522	23.835443038	24	0.517983291275	0.0	79	2	2	0	0	6	1	0.0	0.166666666667	0.333333333333	2.07791441664	0.994967189163	0.444444444444	0.858938858485	0.712935572803	0.75	0.681818181818	0.8	0.857142857143	69	NO	0.583333333333333	39	0	6	1	-23.90	0.933333333333333	14	9
523	22.125	16	0.6566563147	0.375	8	11	11	0	0	1	0	0.176470588235	0.142857142857	0.242857142857	2.09010113541	0.925280148164	0.436363636364	0.828994429114	0.712935572803	0.6875	0.625	0.75	0.833333333333	58	NO	0.375	28	8	7	1	-23.60	0.5625	9	8
524	22.7904761905	16	0.459441273022	0.593646666667	105	12	12	0	0	13	9	0.0	0.285714285714	0.5	2.01399187531	0.953830230059	0.415094339623	0.907603165218	0.686988015815	0.875	0.7875	0.9	0.9	73	NO	0.409090909090909	23	0	6	1	 -8.40	0.75	9	10
525	18.7848101266	16	0.48516835279	0.27848	79	12	12	0	0	9	2	0.333333333333	0.111111111111	0.5	1.84907769249	0.977342973473	0.352941176471	0.874806886783	0.666666666667	0.75	0.75	0.8	0.888888888889	74	NO	0.333333333333333	16	0	5	1	-25.60	0.6	6	8
526	21.197830069	20	0.35735204523	0.31747	28388	5	5	0	0	13	2	0.142857142857	0.428571428571	0.583333333333	1.98408988768	0.911059462555	0.42	0.786609836168	0.65535633996	0.625	0.526315789474	0.7	0.769230769231	70	YES	0.904761904761905	56	0	17	1	-32.80	1	19	2
527	23.3992395437	22	0.571741788652	0.0	263	9	9	0	0	2	1	0.230769230769	0.272727272727	0.325	2.08145452084	0.974541147676	0.444444444444	0.888883287857	0.697784057652	0.8125	0.701704545455	0.85	0.857142857143	71	NO	0.5	77	5	8	2	-32.40	1	12	12
528	23.2222222222	15	0.513337443131	0.444446666667	9	10	10	0	0	8	0	0.333333333333	0.5	0.375	2.0892544274	0.932393489628	0.444444444444	0.845405026987	0.712935572803	0.75	0.681818181818	0.8	0.857142857143	68	NO	0.541666666666667	76	0	10	2	-29.70	1	13	11
529	18.3639705882	17	0.426345187402	0.0882366666667	272	11	11	0	0	5	1	0.25	0.111111111111	0.533333333333	1.80170734149	0.985667642653	0.354166666667	0.875	0.628926210379	0.75	0.7	0.8	0.857142857143	67	NO	0.470588235294118	57	16	7	1	-26.10	1	8	9
530	21.9024390244	22	0.484038790157	0.00217	615	0	0	0	0	7	1	0.272727272727	0.0909090909091	0.392857142857	2.0089375021	0.984922629019	0.44	0.889629653262	0.670321349148	0.8125	0.690625	0.85	0.85	73	NO	0.318181818181818	22	0	6	1	-15.40	0.538461538461538	7	9
531	23.6	23	0.585441093433	NA	5	5	5	0	0	0	0	0.142857142857	0.2	0.291666666667	2.08060781283	0.979573958514	0.436363636364	0.888883287857	0.712935572803	0.8125	0.738636363636	0.85	0.880952380952	65	NO	0.458333333333333	32	0	3	1	-26.20	0.6875	11	8
532	21.2727272727	15	0.467011716394	0.177486666667	77	11	11	0	0	15	10	0.2	0.4	0.416666666667	1.93653204936	0.963060373421	0.4	0.894154411227	0.657950463203	0.8125	0.722222222222	0.85	0.868421052632	71	NO	0.55	52	0	8	2	 -9.50	1	11	9
533	23.8333333333	19	0.64555264864	0.25	12	7	7	0	0	7	4	0.0	0.25	0.25	2.08608769629	0.951553584181	0.444444444444	0.858938858485	0.697784057652	0.75	0.647727272727	0.8	0.833333333333	77	NO	0.625	51	1	7	1	-31.80	1	15	9
534	24.0057803468	23	0.468464909779	0.156066666667	173	1	1	0	0	4	2	0.166666666667	0.166666666667	0.342857142857	2.07876112465	0.989934378326	0.444444444444	0.897088586793	0.712935572803	0.8125	0.738636363636	0.85	0.880952380952	70	YES	0.708333333333333	80	7	9	2	-34.40	1	17	7
535	17.2232928362	15	0.55062009356	0.00530666666667	11935	11	11	0	0	10	2	0.0	0.25	0.4	1.84744175668	0.985412252791	0.352941176471	0.834293835281	0.666666666667	0.6875	0.6875	0.75	0.861111111111	72	NO	0.5	31	0	8	1	-31.40	1	9	9
536	23.4285714286	18	0.488471673254	0.238096666667	7	4	4	0	0	9	9	0.5	0.166666666667	0.444444444444	2.08656103121	0.947786720278	0.452830188679	0.867144157422	0.712935572803	0.75	0.681818181818	0.8	0.857142857143	70	NO	0.666666666666667	67	0	4	2	-18.20	1	16	8
537	24.0	20	0.579293409063	0.392156666667	17	7	7	0	0	6	5	0.230769230769	0.0909090909091	0.325	2.07938086098	0.985625918002	0.452830188679	0.897088586793	0.697784057652	0.8125	0.701704545455	0.85	0.857142857143	83	NO	0.666666666666667	50	0	6	1	-15.50	1	16	8
538	19.2051282051	15	0.476284217346	0.222223333333	39	9	9	5	4	10	6	0.142857142857	0.0	0.583333333333	1.89357198035	0.972004874858	0.38	0.865330035053	0.642028120601	0.75	0.661764705882	0.8	0.837837837838	76	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA
539	24.3548387097	23	0.592772585707	0.139783333333	31	2	2	0	0	5	4	0.285714285714	0.2	0.311111111111	2.08254759209	0.966465823449	0.461538461538	0.828994429114	0.697784057652	0.6875	0.59375	0.75	0.809523809524	65	NO	0.416666666666667	63	0	6	2	-18.60	0.714285714285714	10	10
540	22.9116465863	20	0.491832447012	0.514056666667	249	8	8	0	0	6	4	0.333333333333	0.0	0.375	2.08060781283	0.979573958514	0.444444444444	0.948772146599	0.697784057652	0.9375	0.809659090909	0.95	0.904761904762	70	NO	0.25	66	0	6	1	-27.20	0.545454545454545	6	13
541	22.6861824172	23	0.393568577115	0.00675	101986	5	5	0	0	6	2	0.111111111111	0.142857142857	0.45	2.04641379117	0.976576293708	0.425925925926	0.870428643247	0.70030687205	0.75	0.678571428571	0.8	0.853658536585	73	YES	0.869565217391304	57	5	3	1	-35.40	1	20	3
542	21.8333333333	16	0.618606362773	0.222223333333	12	6	6	0	0	10	0	0.142857142857	0.6	0.291666666667	2.0927945316	0.927694271104	0.444444444444	0.845405026987	0.712935572803	0.75	0.681818181818	0.8	0.857142857143	76	NO	0.541666666666667	39	0	6	1	-28.30	1	13	11
543	23.4	20	0.413880650242	0.2	5	5	5	0	0	6	0	0.4	0.571428571429	0.47619047619	2.09588309323	0.892168599033	0.452830188679	0.866058663182	0.70721672809	0.8125	0.738636363636	0.85	0.880952380952	64	NO	0.208333333333333	51	0	42	1	 -3.64	1	5	19
544	22.0952380952	14	0.424402273218	0.507933333333	21	10	10	0	0	6	0	0.0	0.285714285714	0.4	2.08132064023	0.972517782938	0.452830188679	0.867144157422	0.6826325425	0.75	0.613636363636	0.8	0.809523809524	67	NO	0.333333333333333	72	0	6	2	-19.30	0.615384615384615	8	11
545	20.0531914894	15	0.494093981308	0.245863333333	282	12	12	2	1	4	4	0.4	0.25	0.47619047619	1.85442894465	0.952437502578	0.367346938776	0.863705599987	0.645833333333	0.75	0.703125	0.8	0.861111111111	72	NO	0.722222222222222	43	6	3	1	-38.80	1	13	5
546	18.3636363636	22	0.551437241563	0.166666666667	22	4	4	3	6	7	6	0.4	0.333333333333	0.47619047619	1.76899008054	0.924800876357	0.340425531915	0.864141190533	0.610749629867	0.8	0.742857142857	0.842105263158	0.878787878788	76	NO	0.3125	13	1	4	1	-29.90	0.555555555555556	5	7
547	25.0	21	0.493754703087	0.07843	17	6	6	0	0	4	4	0.0909090909091	0.0769230769231	0.366666666667	2.07791441664	0.994967189163	0.48	0.831871195489	0.652329512197	0.6875	0.5	0.75	0.738095238095	75	NO	0.75	82	0	4	2	-12.70	1	18	6
548	23.5	20	0.701479415646	0.0333333333333	20	6	6	0	0	10	4	0.0	0.5	0.25	2.0927945316	0.927694271104	0.452830188679	0.837199728051	0.697784057652	0.6875	0.59375	0.75	0.809523809524	73	NO	0.666666666666667	80	17	5	1	-25.60	1	16	8
549	23.3333333333	21	0.521414141414	0.629626666667	9	0	0	0	0	6	5	0.333333333333	0.833333333333	0.375	2.11624309164	0.83302817109	0.48	0.774859103121	0.652329512197	0.625	0.454545454545	0.7	0.714285714286	73	YES	0.791666666666667	62	4	5	1	-31.80	1	19	5
550	23.3846153846	24	0.457279119981	0.128206666667	13	2	2	0	0	3	2	0.0909090909091	0.230769230769	0.366666666667	2.07938086098	0.985625918002	0.444444444444	0.891760054232	0.712935572803	0.8125	0.738636363636	0.85	0.880952380952	75	NO	0.375	49	6	4	1	-10.80	0.642857142857143	9	10
551	24.25	24	0.658765432099	0.0416666666667	16	0	0	0	0	3	1	0.5	0.0	0.333333333333	2.0927945316	0.89624062518	0.48	0.792635972941	0.652329512197	0.625	0.454545454545	0.7	0.714285714286	64	YES	0.875	60	1	13	1	-50.80	1	21	3
552	21.3333333333	17	0.683706319671	0.25	6	8	8	0	0	2	0	0.294117647059	0.142857142857	0.257575757576	2.09186965411	0.910847702204	0.444444444444	0.823665896552	0.6826325425	0.6875	0.5625	0.75	0.785714285714	67	NO	0.666666666666667	79	12	4	2	-30.90	1	16	8
553	25.7333333333	19	0.674176638177	0.0	15	7	7	0	0	8	7	0.125	0.75	0.253968253968	2.10946802441	0.879308460323	0.444444444444	0.831871195489	0.697784057652	0.6875	0.59375	0.75	0.809523809524	75	NO	0.666666666666667	43	0	3	1	-38.70	1	16	8
554	23.2857142857	18	0.424077908136	0.428573333333	7	3	3	0	0	6	6	0.4	0.571428571429	0.47619047619	2.09588309323	0.892168599033	0.461538461538	0.806169804439	0.6826325425	0.6875	0.5625	0.75	0.785714285714	70	NO	0.25	50	0	35	1	 -2.34	1	6	18
555	23.7272727273	20	0.42980294397	0.27273	11	5	5	0	0	3	3	0.0909090909091	0.384615384615	0.366666666667	2.08254759209	0.966465823449	0.489795918367	0.796598233556	0.652329512197	0.625	0.454545454545	0.7	0.714285714286	74	NO	0.75	76	15	3	1	-22.30	1	18	6
556	21.7868852459	17	0.525819939537	0.0109266666667	61	10	10	0	0	8	1	0.0769230769231	0.454545454545	0.309523809524	2.08462125195	0.960894855342	0.48	0.897088586793	0.676913697787	0.8125	0.664772727273	0.85	0.833333333333	68	NO	0.25	30	2	8	1	-27.70	1	6	18
557	23.7279411765	24	0.318393341742	NA	136	3	3	0	0	0	0	0.142857142857	0.0588235294118	0.583333333333	2.0892544274	0.932393489628	0.48	0.853610325924	0.646610667484	0.75	0.545454545455	0.8	0.761904761905	79	NO	0.583333333333333	60	5	5	1	-15.60	1	14	10
558	21.1538461538	15	0.678297860137	0.0	39	7	7	0	0	10	10	0.333333333333	0.428571428571	0.3	2.02594798467	0.901566675279	0.423076923077	0.856833373475	0.670321349148	0.75	0.6375	0.8	0.825	77	NO	0.636363636363636	63	7	6	1	-22.50	1	14	8
559	22.3888888889	18	0.613110541504	0.38889	18	6	6	0	0	5	0	0.0666666666667	0.333333333333	0.267857142857	2.08462125195	0.960894855342	0.452830188679	0.796598233556	0.676913697787	0.6875	0.5625	0.75	0.785714285714	71	NO	0.75	72	12	3	1	-18.60	1	18	6
560	21.8	21	0.393260192966	0.6	5	5	5	0	0	1	0	0.111111111111	0.2	0.45	2.08254759209	0.966465823449	0.461538461538	0.83611423381	0.661762182635	0.75	0.579545454545	0.8	0.785714285714	76	NO	0.583333333333333	80	0	7	2	 -9.30	1	14	10
561	24.5	23	0.566026570048	0.11111	6	3	3	0	0	8	5	0.428571428571	0.6	0.35	2.09827441505	0.892079563926	0.48	0.792635972941	0.631459152332	0.6875	0.46875	0.75	0.714285714286	69	NO	0.583333333333333	54	3	3	1	-19.90	1	14	10
562	21.6666666667	16	0.810101010101	0.166666666667	6	6	6	0	0	6	6	0.2	0.0	0.208333333333	2.11362786493	0.812907291847	0.470588235294	0.735623880573	0.64089182277	0.5625	0.409090909091	0.65	0.690476190476	73	NO	0.833333333333333	50	0	4	1	-36.90	1	20	4
563	24.027027027	18	0.591608682544	0.315316666667	37	10	10	0	0	12	7	0.125	0.5	0.253968253968	2.09326786652	0.9239274072	0.461538461538	0.830785701249	0.652329512197	0.75	0.579545454545	0.8	0.785714285714	72	NO	0.375	32	0	10	1	-17.80	0.642857142857143	9	10
564	24.7307692308	24	0.512210833264	0.288463333333	52	1	1	0	0	3	3	0.0769230769231	0.0909090909091	0.309523809524	2.07791441664	0.994967189163	0.489795918367	0.810132065054	0.622026481894	0.6875	0.46875	0.75	0.714285714286	67	NO	0.416666666666667	35	9	4	1	-32.40	0.625	10	8
565	22.5	20	0.696768858172	0.25	8	5	5	0	0	2	0	0.0	0.25	0.25	2.08608769629	0.951553584181	0.461538461538	0.823665896552	0.6826325425	0.6875	0.5625	0.75	0.785714285714	74	NO	0.75	77	11	3	1	-28.70	1	18	6
566	23.8085106383	23	0.44562135038	0.0567366666667	94	1	1	0	0	3	1	0.454545454545	0.230769230769	0.458333333333	2.08608769629	0.951553584181	0.5	0.785516168244	0.64089182277	0.6875	0.5	0.75	0.738095238095	65	NO	0.333333333333333	25	0	4	1	-26.70	0.571428571428571	8	10
567	23.9331306991	24	0.563950140676	0.0162133333333	329	3	3	0	0	3	1	0.538461538462	0.0909090909091	0.433333333333	2.08802747554	0.93636491849	0.5	0.753400750393	0.616307637181	0.625	0.426136363636	0.7	0.690476190476	68	YES	0.833333333333333	56	0	9	1	-40.10	1	20	4
568	20.6	14	0.681700554638	0.06	50	17	17	2	2	5	5	0.0666666666667	0.0	0.267857142857	1.98241395131	0.930414438562	0.428571428571	0.786609836168	0.631190660116	0.625	0.493421052632	0.7	0.74358974359	70	NO	0.476190476190476	31	0	12	1	-35.80	1	10	11
569	19.7777777778	12	0.450263552058	0.40741	9	9	9	0	0	7	0	0.166666666667	0.166666666667	0.342857142857	2.07876112465	0.989934378326	0.436363636364	0.897088586793	0.728087087955	0.8125	0.775568181818	0.85	0.904761904762	67	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA
570	21.0257410296	20	0.462649024441	0.31565	1282	1	1	0	0	7	2	0.2	0.272727272727	0.416666666667	1.97253210609	0.978033486182	0.403846153846	0.896045929945	0.690444059258	0.8125	0.769736842105	0.85	0.897435897436	71	YES	0.857142857142857	59	4	8	1	-40.80	1	18	3
571	22.1210974456	22	0.559041273472	0.01577	2114	3	3	0	0	5	1	0.0769230769231	0.555555555556	0.309523809524	2.02063234694	0.93851708402	0.415094339623	0.856833373475	0.686988015815	0.75	0.675	0.8	0.85	69	YES	0.909090909090909	60	4	8	1	-37.60	1	20	2
572	22.7368421053	21	0.719725124185	0.23392	57	2	2	0	0	4	2	0.0588235294118	0.714285714286	0.236111111111	2.11008776073	0.875	0.444444444444	0.826542662927	0.697784057652	0.6875	0.59375	0.75	0.809523809524	69	NO	0.666666666666667	44	2	5	1	-52.60	0.842105263157895	16	5
573	18.3225806452	16	0.646800111653	0.00358333333333	93	11	11	0	0	3	2	0.0909090909091	0.2	0.366666666667	1.76587959074	0.941428031846	0.340425531915	0.71822639883	0.610749629867	0.533333333333	0.495238095238	0.631578947368	0.757575757576	70	NO	0.6875	67	0	7	3	-35.30	1	11	5
574	22.0	15	0.44426585254	0.444446666667	6	6	6	0	0	10	7	0.454545454545	0.0769230769231	0.458333333333	2.08462125195	0.960894855342	0.436363636364	0.888883287857	0.728087087955	0.8125	0.775568181818	0.85	0.904761904762	67	NO	0.416666666666667	32	0	4	1	-17.40	0.714285714285714	10	10
575	20.7872340426	16	0.467071692228	0.439716666667	47	7	7	0	0	10	8	0.333333333333	0.636363636364	0.5	1.95246779737	0.891114359457	0.392156862745	0.788891253332	0.657950463203	0.625	0.555555555556	0.7	0.789473684211	67	NO	0.4	29	0	4	1	-19.10	1	8	12
576	23.7647058824	24	0.391311536692	NA	17	3	3	0	0	0	0	0.111111111111	0.2	0.45	2.08254759209	0.966465823449	0.452830188679	0.875349456359	0.712935572803	0.75	0.681818181818	0.8	0.857142857143	68	NO	0.583333333333333	53	2	8	1	-17.40	1	14	10
577	21.75	14	0.721155351029	0.0	8	5	5	0	0	11	11	0.294117647059	0.142857142857	0.257575757576	2.09186965411	0.910847702204	0.444444444444	0.845405026987	0.697784057652	0.75	0.647727272727	0.8	0.833333333333	76	NO	0.458333333333333	67	18	7	1	-36.20	0.733333333333333	11	9
578	21.125	17	0.637883737033	0.291666666667	24	6	6	0	2	9	4	0.230769230769	0.25	0.325	1.97642493304	0.958678510174	0.403846153846	0.886609836168	0.690444059258	0.8125	0.769736842105	0.85	0.897435897436	69	NO	0.714285714285714	45	0	13	1	-22.40	1	15	6
579	22.4324324324	20	0.356388679758	0.402403333333	222	0	0	0	0	7	5	0.0	0.571428571429	0.5	2.02416139752	0.893155915974	0.44	0.818201081834	0.653654682481	0.6875	0.55	0.75	0.775	69	YES	0.681818181818182	56	5	6	1	-29.70	1	15	7
580	23.2222222222	16	0.458708461426	0.77778	9	7	7	0	0	6	0	0.636363636364	0.384615384615	0.611111111111	2.09790104197	0.895426041486	0.444444444444	0.774859103121	0.6826325425	0.625	0.511363636364	0.7	0.761904761905	69	NO	0.416666666666667	75	0	5	3	 -9.90	1	10	14
581	21.36	14	0.622511537947	0.413333333333	25	6	6	0	1	11	0	0.166666666667	0.0	0.342857142857	1.93273197202	0.979435924223	0.392156862745	0.795341582223	0.676468981722	0.625	0.590277777778	0.7	0.815789473684	70	YES	0.7	49	7	4	1	-27.00	1	14	6
582	23.6632653061	23	0.492910048253	0.0034	98	4	4	0	0	5	1	0.454545454545	0.0769230769231	0.458333333333	2.08462125195	0.960894855342	0.444444444444	0.83611423381	0.697784057652	0.75	0.647727272727	0.8	0.833333333333	70	NO	0.583333333333333	45	0	5	1	-29.20	1	14	10
583	23.320610687	23	0.617152656303	0.18575	131	0	0	0	0	5	2	0.6	0.5	0.416666666667	2.07145733668	0.84255896683	0.442307692308	0.77838471745	0.652687824431	0.6875	0.52380952381	0.75	0.756097560976	68	YES	0.652173913043478	78	19	3	1	-37.40	1	15	8
584	22.8076923077	19	0.596880128657	0.23077	26	7	7	3	4	6	2	0.0769230769231	0.333333333333	0.309523809524	2.01239211786	0.970035764655	0.458333333333	0.808025451211	0.653654682481	0.6875	0.55	0.75	0.775	75	NO	0.454545454545455	78	3	24	3	 -9.00	0.769230769230769	10	9
585	18.4761904762	14	0.432250734302	0.09524	21	3	3	0	1	12	0	0.333333333333	0.2	0.75	1.76296992185	0.952819531115	0.326530612245	0.797474523866	0.634559153676	0.666666666667	0.666666666667	0.736842105263	0.848484848485	81	NO	0.8125	32	0	6	1	-25.20	1	13	3
586	24.0	24	0.689116300366	0.3	5	0	0	0	0	2	0	0.294117647059	0.142857142857	0.257575757576	2.09186965411	0.910847702204	0.452830188679	0.792635972941	0.667481027349	0.625	0.482954545455	0.7	0.738095238095	72	NO	0.583333333333333	52	8	4	1	-33.00	1	14	10
587	18.275862069	16	0.500441683646	0.126436666667	29	11	11	0	1	3	2	0.25	0.0	0.533333333333	1.75290966889	0.988608500731	0.347826086957	0.797474523866	0.586940106057	0.666666666667	0.571428571429	0.736842105263	0.787878787879	69	NO	0.5	22	0	6	1	-31.30	1	8	8
588	23.1666666667	19	0.32811124802	0.222223333333	6	4	4	0	0	10	4	0.25	0.25	0.533333333333	2.08802747554	0.93636491849	0.436363636364	0.840076494426	0.712935572803	0.6875	0.625	0.75	0.833333333333	62	NO	0.5	66	11	5	1	 -1.50	1	12	12
589	24.3333333333	23	0.410349312523	0.11111	6	0	0	0	0	3	0	0.4	0.142857142857	0.47619047619	2.08462125195	0.960894855342	0.444444444444	0.837199728051	0.667481027349	0.6875	0.53125	0.75	0.761904761905	68	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA
590	20.0	12	0.47679077205	0.0	15	14	14	0	0	5	0	0.5	0.5	0.444444444444	2.09436093777	0.90563906223	0.444444444444	0.826542662927	0.6826325425	0.75	0.613636363636	0.8	0.809523809524	69	NO	0.291666666666667	24	0	9	1	-17.80	0.7	7	14
591	23.1860465116	22	0.502545109699	0.434106666667	43	2	2	0	0	4	3	0.333333333333	0.333333333333	0.375	2.08414791703	0.959147917027	0.489795918367	0.800841271877	0.646610667484	0.6875	0.5	0.75	0.738095238095	67	YES	0.791666666666667	58	0	13	1	-35.90	1	19	5
